ベンダ,GRAPHTEC Corporation
モデル,GL900
バージョン,Ver2.09
測定間隔,2ms
測定点数,5000        
トリガ点,1                    
開始時刻,2015-10-05,14:24:11
終了時刻,2015-10-05,14:24:21
トリガ時刻,2015-10-05,14:24:11
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1, " CH 1",TEMP,TC_K,Off,300.000,-100.000,ﾟC
CH2, " CH 2",DC,1-5V,Off,401.000,1.000,kPa
CH3, " CH 3",DC,10V,Off,114.300,0.000,ml
Logic/Pulse,Off
XY1,On,CH3,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH1
XY4,Off,CH1,CH1

測定値
番号,日付,時間,us,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm,AlarmOut
NO.,Date,Time,us,ﾟC,kPa,ml,,,,,
43,2015/10/05,14:24:11,084000,+25.3,+102.4,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
44,2015/10/05,14:24:11,086000,+25.1,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
45,2015/10/05,14:24:11,088000,+25.3,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
46,2015/10/05,14:24:11,090000,+25.6,+102.4,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
47,2015/10/05,14:24:11,092000,+25.5,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
48,2015/10/05,14:24:11,094000,+25.7,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
49,2015/10/05,14:24:11,096000,+25.8,+102.5,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
50,2015/10/05,14:24:11,098000,+25.4,+102.5,+59.96,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
51,2015/10/05,14:24:11,100000,+25.4,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
52,2015/10/05,14:24:11,102000,+25.4,+102.3,+59.95,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
53,2015/10/05,14:24:11,104000,+24.9,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
54,2015/10/05,14:24:11,106000,+25.7,+102.2,+59.96,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
55,2015/10/05,14:24:11,108000,+25.3,+102.3,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
56,2015/10/05,14:24:11,110000,+25.4,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
57,2015/10/05,14:24:11,112000,+25.2,+102.4,+59.95,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
58,2015/10/05,14:24:11,114000,+25.6,+102.3,+59.95,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
59,2015/10/05,14:24:11,116000,+25.5,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
60,2015/10/05,14:24:11,118000,+25.2,+102.2,+59.95,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
61,2015/10/05,14:24:11,120000,+25.4,+102.2,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
62,2015/10/05,14:24:11,122000,+25.4,+102.4,+59.96,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
63,2015/10/05,14:24:11,124000,+25.1,+102.2,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
64,2015/10/05,14:24:11,126000,+25.5,+102.5,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
65,2015/10/05,14:24:11,128000,+25.4,+102.4,+59.96,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
66,2015/10/05,14:24:11,130000,+25.4,+102.5,+59.96,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
67,2015/10/05,14:24:11,132000,+25.4,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
68,2015/10/05,14:24:11,134000,+25.8,+102.4,+59.96,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
69,2015/10/05,14:24:11,136000,+25.4,+102.2,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
70,2015/10/05,14:24:11,138000,+25.7,+102.5,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
71,2015/10/05,14:24:11,140000,+25.6,+102.2,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
72,2015/10/05,14:24:11,142000,+25.1,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
73,2015/10/05,14:24:11,144000,+25.6,+102.3,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
74,2015/10/05,14:24:11,146000,+25.4,+102.5,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
75,2015/10/05,14:24:11,148000,+25.7,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
76,2015/10/05,14:24:11,150000,+25.7,+102.5,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
77,2015/10/05,14:24:11,152000,+25.7,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
78,2015/10/05,14:24:11,154000,+26.0,+102.4,+59.95,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
79,2015/10/05,14:24:11,156000,+25.0,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
80,2015/10/05,14:24:11,158000,+25.4,+102.4,+59.96,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
81,2015/10/05,14:24:11,160000,+25.1,+102.2,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
82,2015/10/05,14:24:11,162000,+25.4,+102.4,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
83,2015/10/05,14:24:11,164000,+25.4,+102.5,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
84,2015/10/05,14:24:11,166000,+25.3,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
85,2015/10/05,14:24:11,168000,+25.2,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
86,2015/10/05,14:24:11,170000,+25.6,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
